"","OTU_57","OTU_53","OTU_59","OTU_56","OTU_13","OTU_11","OTU_48","OTU_51","OTU_43","OTU_50","OTU_36","OTU_32","OTU_34","OTU_19","OTU_14","OTU_20","OTU_35","OTU_33","OTU_4","OTU_44","OTU_46","OTU_42","OTU_38","OTU_41","OTU_39","OTU_16","OTU_2","OTU_10","OTU_17","OTU_47","OTU_54","OTU_55","OTU_49","OTU_15","OTU_5","OTU_40","OTU_12","OTU_7","OTU_8","OTU_21","OTU_18","OTU_45","OTU_6","OTU_30","OTU_25","OTU_29","OTU_3","OTU_22","OTU_1","OTU_31","OTU_27","OTU_9","OTU_23","OTU_58","OTU_28","OTU_52","OTU_26","OTU_37","OTU_24"
"PPO20_229",34815,4878,132043,0,169,0,0,0,0,176,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_231",99787,11577,422013,8046,1563,1084,0,2033,0,0,48,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_232",0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADE_21_00397",44442,0,28265,0,27340,0,0,0,0,0,0,0,0,0,0,0,0,0,15132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADE_21_00398",16666,0,19169,0,9762,3664,0,0,0,0,0,0,0,0,16780,0,0,0,17166,0,20689,0,15621,0,0,10299,0,2232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADE_21_00399",34178,5423,0,0,23089,12644,0,0,0,0,0,0,0,0,4638,0,0,0,15761,0,0,0,0,0,11702,2260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADE_21_00400",19636,3298,4153,0,8602,4589,0,0,0,2640,0,0,0,0,2746,0,0,0,4005,0,0,0,2797,0,0,660,0,0,0,0,0,3441,0,0,318,0,0,0,608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADE_21_00401",61534,0,12298,0,34738,6611,0,2586,0,0,40,0,0,0,4047,0,0,0,5746,0,0,2733,0,0,0,0,0,5204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
"ADE_21_00402",57542,0,44422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14072,0,0,0,0,0,0,0,587,3004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"ADE_21_00403",14513,13300,5405,0,15039,34223,0,0,0,3029,0,0,0,0,11555,0,0,0,24318,0,18038,0,0,0,0,1338,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
