"","OTU_2","OTU_19","OTU_7","OTU_18","OTU_10","OTU_5","OTU_24","OTU_16","OTU_23","OTU_11","OTU_25","OTU_26","OTU_9","OTU_28","OTU_6","OTU_17","OTU_3","OTU_8","OTU_21","OTU_1","OTU_20","OTU_15","OTU_14","OTU_12","OTU_22","OTU_13","OTU_4","OTU_27"
"BDA20_065",114872,0,102228,0,22654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0
"BDA20_067",0,0,28747,0,0,0,0,0,597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_068",313994,0,0,118,332281,133,0,0,120,52,0,0,0,0,0,0,349,0,0,397,0,0,0,0,0,0,0,0
"BDA20_070",455222,296,92110,0,0,0,93,0,9523,0,0,0,0,0,0,0,698,0,0,768,0,50,0,0,0,0,0,0
"BDA20_071",52200,0,179558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0
"BDA20_072",0,0,171225,0,0,0,0,0,0,0,4423,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0
"BDA20_073",0,0,0,0,0,0,0,0,0,0,0,368727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_074",75138,0,233212,0,132,0,111,0,122,64,0,0,208115,0,132172,0,178,0,0,0,0,0,0,0,0,0,0,0
"BDA20_075",80778,0,0,0,65159,0,0,0,0,0,0,0,0,0,0,0,0,0,6688,104,0,0,0,0,0,0,0,0
"BDA20_076",0,0,0,0,711372,0,139,0,0,60,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"BDA20_077",4790,0,826568,0,0,121,123,0,0,94,0,22017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_080",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"BDA20_082",0,301,10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_083",0,0,0,0,0,0,0,0,0,0,516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_084",0,0,0,0,113578,0,0,0,0,0,0,0,60001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_085",0,0,0,0,0,0,0,0,0,0,263001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_088",0,0,0,0,4463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_089",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0
