"","OTU_96","OTU_85","OTU_1","OTU_7","OTU_9","OTU_116","OTU_4","OTU_11","OTU_13","OTU_16","OTU_80","OTU_10","OTU_31","OTU_3","OTU_102","OTU_95","OTU_105","OTU_104","OTU_115","OTU_15","OTU_124","OTU_127","OTU_97","OTU_125","OTU_119","OTU_126","OTU_122","OTU_107","OTU_120","OTU_121","OTU_32","OTU_111","OTU_98","OTU_5","OTU_106","OTU_130","OTU_132","OTU_114","OTU_135","OTU_92","OTU_118","OTU_133","OTU_109","OTU_17","OTU_139","OTU_55","OTU_136","OTU_99","OTU_30","OTU_93","OTU_74","OTU_108","OTU_90","OTU_103","OTU_154","OTU_91","OTU_34","OTU_76","OTU_89","OTU_26","OTU_61","OTU_140","OTU_42","OTU_206","OTU_110","OTU_84","OTU_203","OTU_14","OTU_197","OTU_20","OTU_81","OTU_82","OTU_59","OTU_38","OTU_94","OTU_58","OTU_199","OTU_176","OTU_87","OTU_88","OTU_178","OTU_198","OTU_66","OTU_68","OTU_180","OTU_152","OTU_23","OTU_24","OTU_27","OTU_195","OTU_62","OTU_48","OTU_6","OTU_117","OTU_37","OTU_28","OTU_177","OTU_151","OTU_172","OTU_113","OTU_18","OTU_36","OTU_40","OTU_35","OTU_22","OTU_175","OTU_49","OTU_100","OTU_200","OTU_53","OTU_205","OTU_196","OTU_171","OTU_134","OTU_187","OTU_101","OTU_128","OTU_19","OTU_155","OTU_156","OTU_123","OTU_70","OTU_173","OTU_150","OTU_129","OTU_204","OTU_51","OTU_2","OTU_157","OTU_69","OTU_184","OTU_153","OTU_131","OTU_174","OTU_207","OTU_12","OTU_181","OTU_72","OTU_138","OTU_170","OTU_192","OTU_159","OTU_169","OTU_21","OTU_166","OTU_191","OTU_33","OTU_179","OTU_112","OTU_193","OTU_54","OTU_201","OTU_73","OTU_143","OTU_182","OTU_158","OTU_45","OTU_29","OTU_8","OTU_137","OTU_202","OTU_163","OTU_83","OTU_144","OTU_41","OTU_50","OTU_160","OTU_146","OTU_189","OTU_186","OTU_161","OTU_71","OTU_148","OTU_63","OTU_39","OTU_75","OTU_43","OTU_60","OTU_145","OTU_142","OTU_147","OTU_47","OTU_67","OTU_56","OTU_149","OTU_162","OTU_164","OTU_168","OTU_190","OTU_57","OTU_183","OTU_165","OTU_46","OTU_185","OTU_64","OTU_141","OTU_65","OTU_194","OTU_188","OTU_44","OTU_167","OTU_78","OTU_79","OTU_77","OTU_52","OTU_86","OTU_25"
"PPO20_014",0,0,0,248,0,0,0,732,17592,0,24966,0,0,0,0,0,0,0,0,14111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2028,1911,0,0,0,0,0,0,0,0,21,136,0,0,0,827,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_015",111475,34718,36288,0,0,0,0,0,95983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,42799,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,2322,0,0,0,0,1858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_016",66617,13753,0,2718,45916,0,0,0,0,34275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4719,0,0,0,0,0,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_017",372374,13091,0,0,0,0,0,0,0,0,0,14914,93972,0,0,0,25699,12681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385,0,0,0,0,0,216,0,2511,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0,9105,0,0,0,0,0,0,0,100,672,0,0,0,0,0,0,0,0,0,0,0,0,0,398,0,0,0,0,0,0,0,267,0,0,0,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,185,0,0,0,0,0,68,0,0,0,0,0,0,0,23,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"PPO20_018",329145,0,0,0,0,23303,0,0,0,0,0,0,0,0,0,0,0,20392,0,0,0,0,383,0,0,0,0,23331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,96,0,0,0,0,75,0,86,0,18,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,55,0,39,0,0,12,0,261,0,0,0,0,172,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_020",0,0,0,9854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69357,0,58014,0,0,2030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_021",52549,0,0,1754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,159,0,107,111,111,130,0,95,0,0,0,8430,0,0,143796,42436,0,78786,0,0,64486,0,0,0,0,0,0,0,279,0,0,0,0,0,0,0,0,0,1807,0,0,0,0,0,0,0,0,0,665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,3,0,0,0,0,0,0,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,78,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"PPO20_022",327477,0,0,0,0,37130,0,0,0,0,0,0,0,0,0,0,0,17539,0,0,7117,6995,1573,5885,5558,5549,5478,0,4581,4428,0,0,3489,0,6186,5543,1599,0,3180,0,0,2682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,0,0,65,0,0,212,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,347,0,0,0,274,0,0,161,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_023",382578,0,0,0,5211,3751,0,0,0,0,0,13946,0,0,0,0,0,0,13317,0,0,0,15486,0,0,0,0,0,0,0,0,0,1016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_024",162077,0,0,0,0,6769,0,0,0,0,0,0,0,0,15292,702,3987,17241,0,0,0,0,4205,0,0,0,0,0,0,0,0,0,10807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
