"","class.index","Mantel.cor","Pr.Mantel","Pr.corrected","distance","Signif","group","Locus"
"75",25.68,0.221031134092626,0.001,0.009,"Depth|2D","yes","Spring2021","COI"
"76",28.5333333333333,0.27660088134274,0.001,0.01,"Depth|2D","yes","Spring2021","COI"
"77",31.3866666666667,0.176443713773278,0.001,0.011,"Depth|2D","yes","Spring2021","COI"
"78",35.24,0.0203321022494672,0.153,1.836,"Depth|2D","no","Spring2021","COI"
"79",73.2079403584048,0.368874790966966,0.001,0.001,"2D|Depth","yes","Spring2021","COI"
"80",146.41588071681,0.036171569240737,0.166,0.332,"2D|Depth","no","Spring2021","COI"
"81",219.623821075214,-0.159721266056027,0.001,0.003,"2D|Depth","yes","Spring2021","COI"
"82",292.831761433619,-0.0560720906623275,0.029,0.116,"2D|Depth","no","Spring2021","COI"
"83",366.039701792024,-0.0948858598678579,0.009,0.045,"2D|Depth","yes","Spring2021","COI"
"84",439.247642150429,-0.526369525087259,0.001,0.006,"2D|Depth","yes","Spring2021","COI"
"85",512.455582508834,0.292067171867556,0.001,0.007,"2D|Depth","yes","Spring2021","COI"
"86",585.663522867238,NA,NA,NA,"2D|Depth",NA,"Spring2021","COI"
"87",658.871463225643,0.224267626122524,0.001,0.009,"2D|Depth","yes","Spring2021","COI"
"88",732.079403584048,0.263682032408457,0.001,0.01,"2D|Depth","yes","Spring2021","COI"
"89",805.287343942453,0.118992888639804,0.001,0.011,"2D|Depth","yes","Spring2021","COI"
"90",879.495284300858,0.0773962538250496,0.006,0.072,"2D|Depth","no","Spring2021","COI"
"91",73.2594791666563,0.569380609444799,0.001,0.001,"3D","yes","Spring2021","COI"
"92",146.518958333313,0.202369528003186,0.001,0.002,"3D","yes","Spring2021","COI"
"93",219.778437499969,-0.0450757242635762,0.074,0.222,"3D","no","Spring2021","COI"
"94",293.037916666625,-0.051890456646231,0.046,0.184,"3D","no","Spring2021","COI"
"95",366.297395833282,-0.149884532244007,0.001,0.005,"3D","yes","Spring2021","COI"
"96",439.556874999938,-0.597781111697305,0.001,0.006,"3D","yes","Spring2021","COI"
"97",512.816354166594,0.0724676404559889,0.015,0.105,"3D","no","Spring2021","COI"
"98",586.075833333251,NA,NA,NA,"3D",NA,"Spring2021","COI"
"99",659.335312499907,-0.0210377569000093,0.281,2.529,"3D","no","Spring2021","COI"
"100",732.594791666563,-0.0106636414672437,0.359,3.59,"3D","no","Spring2021","COI"
"101",805.85427083322,-0.0366200866705265,0.084,0.924,"3D","no","Spring2021","COI"
"102",880.113749999876,-0.284289983401383,0.001,0.012,"3D","yes","Spring2021","COI"
"103",0.845555555555556,0.399355320488656,0.002,0.002,"Depth|2D","yes","Fall2020","MiFishU"
"104",1.69111111111111,-0.191786123151142,0.037,0.074,"Depth|2D","no","Fall2020","MiFishU"
"105",2.53666666666667,-0.0317868161108283,0.293,0.879,"Depth|2D","no","Fall2020","MiFishU"
"106",3.38222222222222,-0.190221342992883,0.031,0.124,"Depth|2D","no","Fall2020","MiFishU"
"107",4.22777777777778,-0.272457613562193,0.034,0.17,"Depth|2D","no","Fall2020","MiFishU"
"108",5.07333333333333,-0.124054085286416,0.066,0.396,"Depth|2D","no","Fall2020","MiFishU"
"109",5.91888888888889,0.0272181655532303,0.416,2.912,"Depth|2D","no","Fall2020","MiFishU"
"110",6.76444444444444,0.0293777893631101,0.414,3.312,"Depth|2D","no","Fall2020","MiFishU"
"111",8.61,0.248637562661794,0.003,0.027,"Depth|2D","yes","Fall2020","MiFishU"
"112",26.4172456158289,0.444307677942451,0.001,0.001,"2D|Depth","yes","Fall2020","MiFishU"
"113",52.8344912316577,0.0933943641786533,0.056,0.112,"2D|Depth","no","Fall2020","MiFishU"
"114",79.2517368474866,-0.18607590141737,0.008,0.024,"2D|Depth","yes","Fall2020","MiFishU"
"115",105.668982463315,-0.267862342230188,0.003,0.012,"2D|Depth","yes","Fall2020","MiFishU"
"116",132.086228079144,-0.592249289504243,0.001,0.005,"2D|Depth","yes","Fall2020","MiFishU"
"117",158.503473694973,-0.187678450177806,0.027,0.162,"2D|Depth","no","Fall2020","MiFishU"
"118",184.920719310802,0.0673795399211836,0.251,1.757,"2D|Depth","no","Fall2020","MiFishU"
"119",211.337964926631,0.257302502264716,0.001,0.008,"2D|Depth","yes","Fall2020","MiFishU"
"120",238.75521054246,0.199528399900344,0.009,0.081,"2D|Depth","no","Fall2020","MiFishU"
"121",26.4289890036337,0.351049437848459,0.001,0.001,"3D","yes","Fall2020","MiFishU"
"122",52.8579780072673,0.0778164242968792,0.068,0.136,"3D","no","Fall2020","MiFishU"
"123",79.286967010901,-0.191921254037845,0.008,0.024,"3D","yes","Fall2020","MiFishU"
"124",105.715956014535,-0.270834765046351,0.003,0.012,"3D","yes","Fall2020","MiFishU"
