"","OTU_41","OTU_19","OTU_5","OTU_18","OTU_13","OTU_50","OTU_15","OTU_24","OTU_17","OTU_11","OTU_12","OTU_31","OTU_29","OTU_14","OTU_34","OTU_1","OTU_21","OTU_48","OTU_44","OTU_10","OTU_22","OTU_42","OTU_7","OTU_6","OTU_8","OTU_45","OTU_43","OTU_37","OTU_20","OTU_49","OTU_16","OTU_40","OTU_38","OTU_46","OTU_9","OTU_26","OTU_25","OTU_28","OTU_3","OTU_39","OTU_4","OTU_30","OTU_23","OTU_27","OTU_47","OTU_33","OTU_36","OTU_2","OTU_35","OTU_32"
"BDA20_043",456365,0,12409,0,116,0,0,0,0,84025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,811,0,360,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_044",12943,0,0,0,0,0,0,0,0,10,0,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_045",705634,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,31240,0,0,0,64,0,0,0,604,0,563,0,0,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0
"BDA20_046",257371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,0,0,0,2750,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_047",159283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_048",0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_049",267109,0,21585,0,0,0,0,0,0,30271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,723,0,217,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_051",53019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_052",15454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0
"BDA20_053",18164,0,0,0,0,0,4316,0,0,173,0,0,0,0,0,0,0,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_054",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_055",120295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5963,0,0,0,0,0,0,0,0,0,75,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_057",324694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,2787,215,0,0,0,0,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_058",89976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_059",311506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,897,0,0,0,479,0,267,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_060",0,0,0,0,115,0,796939,0,0,61,0,0,9989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3514,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_061",593854,0,0,198,93,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,0,554,0,0,0,0,493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_062",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_064",453992,0,267482,135,0,116,92,0,0,50,0,0,0,0,0,0,0,0,9576,8859,0,358,779,3588,0,4908,0,318,0,0,0,0,78,2367,791,0,0,0,0,98,92,0,0,0,44,0,0,0,0,0
"BDA20_065",112467,0,102228,0,22654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2405,0,0,0,0,0,78,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_067",0,0,28143,0,0,0,0,0,597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_068",313994,0,0,118,0,133,0,0,120,52,332281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349,0,258,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_070",455222,296,90402,0,0,0,93,0,9523,0,0,0,0,0,0,0,0,0,0,0,0,0,140,84,1484,698,0,367,0,0,0,0,401,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_071",51798,0,179326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,0,0,0,402,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_072",0,0,170977,0,0,0,0,0,0,0,0,4423,0,0,0,0,0,0,0,0,0,0,248,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_073",0,0,0,0,0,0,0,0,0,0,0,0,368727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_074",75138,0,230581,0,132,0,111,0,122,64,0,0,0,208115,0,132148,0,0,0,0,0,0,516,0,1975,178,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0
"BDA20_075",80778,0,0,0,65159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6688,0,0,0,0,0,0,69,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_076",0,0,0,0,711372,0,139,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_077",4790,0,814643,0,0,121,123,0,0,94,0,0,22017,0,0,0,0,0,0,0,0,0,3742,2149,3407,0,0,0,0,0,0,0,0,0,2627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_080",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"BDA20_082",0,301,10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_083",0,0,0,0,0,0,0,0,0,0,0,516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_084",0,0,0,0,113578,0,0,0,0,0,0,0,0,60001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_085",0,0,0,0,0,0,0,0,0,0,0,262926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0
"BDA20_088",0,0,0,0,4463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_089",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0
