"","OTU_38","OTU_96","OTU_34","OTU_30","OTU_92","OTU_43","OTU_40","OTU_88","OTU_84","OTU_54","OTU_82","OTU_32","OTU_81","OTU_76","OTU_79","OTU_66","OTU_42","OTU_64","OTU_80","OTU_77","OTU_12","OTU_52","OTU_50","OTU_55","OTU_60","OTU_57","OTU_58","OTU_48","OTU_94","OTU_4","OTU_7","OTU_49","OTU_83","OTU_45","OTU_87","OTU_90","OTU_91","OTU_95","OTU_11","OTU_89","OTU_46","OTU_8","OTU_13","OTU_10","OTU_20","OTU_18","OTU_56","OTU_41","OTU_5","OTU_25","OTU_26","OTU_21","OTU_59","OTU_9","OTU_37","OTU_16","OTU_27","OTU_65","OTU_63","OTU_53","OTU_14","OTU_28","OTU_15","OTU_93","OTU_3","OTU_6","OTU_33","OTU_24","OTU_62","OTU_31","OTU_36","OTU_51","OTU_35","OTU_47","OTU_75","OTU_85","OTU_22","OTU_19","OTU_23","OTU_68","OTU_74","OTU_2","OTU_17","OTU_67","OTU_1","OTU_78","OTU_44","OTU_70","OTU_29","OTU_72","OTU_39","OTU_71","OTU_86","OTU_69","OTU_61","OTU_73"
"PPO20_231",99787,11577,236937,182675,8046,1563,1084,0,2033,0,0,2401,48,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_232",0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADE_21_00397",44107,0,24285,3938,0,27340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335,0,0,0,1529,0,132,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADE_21_00398",16420,0,0,19169,0,9762,3664,0,0,0,0,0,0,0,0,0,16780,0,0,0,17166,0,20689,0,15621,0,0,9423,0,0,2232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,0,0,876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADE_21_00399",34178,0,0,0,0,23068,12644,0,0,0,0,0,0,0,0,0,4638,0,0,0,15761,0,0,0,0,0,11702,2260,0,0,0,0,0,0,0,0,0,5423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0
"ADE_21_00400",19636,3298,1395,2758,0,8602,4589,0,0,0,2640,0,0,0,0,0,2746,0,0,0,4005,0,0,0,2797,0,0,660,0,0,0,0,0,0,0,0,3441,0,0,0,0,0,0,0,0,0,0,0,0,0,608,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADE_21_00401",61534,0,3254,9044,0,34738,6611,0,2586,0,0,0,40,0,0,0,4047,0,0,0,5746,0,0,2733,0,0,0,0,0,0,5204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
"ADE_21_00402",56396,0,29197,15225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14072,0,0,0,0,0,0,0,0,0,3004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1146,0,0,0,0,0,0,0,0,0,0,587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"ADE_21_00403",14513,13300,0,5405,0,15039,34223,0,0,0,3029,0,0,0,0,0,11555,0,0,0,22018,0,18038,0,0,0,0,1338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2300,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADE_21_00404",47044,0,4105,22343,0,10282,8759,0,0,0,0,0,0,419,0,0,2792,0,0,0,14545,0,0,0,0,0,0,4409,0,0,491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADE_21_00405",9889,0,0,2567,0,4629,3748,0,1685,0,0,0,0,0,0,0,0,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADE_21_00407",22762,0,0,10459,0,8807,10319,0,0,0,0,0,0,0,0,0,27098,0,0,0,31636,0,0,0,0,0,0,6007,0,0,1929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,0,0,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
