"","Df","Variance","F","Pr..F.","R2","adj.R2","model","transfo"
"Model",5,361.040973811672,1.74653291726376,0.126,"0.367959718747844","0.157279624997126","Complete","Hellinger-Mahalanobis"
"Residual",15,620.156030687308,NA,NA,"NA","NA","Complete","Hellinger-Mahalanobis"
"Longitude",1,73.1139221640295,1.76844016375198,0.163,"0.0745150278983611","0.0404737614352719","pRDA","Hellinger-Mahalanobis"
"Latitude",1,82.4180801878384,1.9934841259988,0.137,"0.0839974845111999","0.0523268322013202","pRDA","Hellinger-Mahalanobis"
"Depth_m",1,23.6061452972871,0.5709727261168,0.577,"0.0240585174934786","-0.0225968765708314","pRDA","Hellinger-Mahalanobis"
"Temperature",1,5.17690988656659,0.125216307599938,0.917,"0.00527611668485531","-0.0460748775816106","pRDA","Hellinger-Mahalanobis"
"Salinity",1,7.40031110704263,0.178994738602501,0.863,"0.00754212566193306","-0.0432423663602631","pRDA","Hellinger-Mahalanobis"
"Residual1",15,620.156030687308,NA,NA,"NA","NA","pRDA","Hellinger-Mahalanobis"
