"","Df","Variance","F","Pr..F.","R2","adj.R2","model","transfo"
"Model",7,3252.80638863707,6.76109876658499,0.001,"0.217771104402752","0.185561679289924","Complete","Hellinger-Mahalanobis"
"Residual",170,11684.0071870577,NA,NA,"NA","NA","Complete","Hellinger-Mahalanobis"
"Longitude",1,17.2714234376781,0.251295804375884,0.808,"0.00115629905603022","-0.00356592624440188","pRDA","Hellinger-Mahalanobis"
"Latitude",1,16.2605008671489,0.23658708037062,0.832,"0.0010886191211222","-0.00363598091386808","pRDA","Hellinger-Mahalanobis"
"Depth_m",1,24.865743737515,0.361791666823003,0.703,"0.00166472879985471","-0.00303965686044316","pRDA","Hellinger-Mahalanobis"
"Temperature",1,49.8151586075528,0.724800732120788,0.443,"0.0237564991122371","0.01497688198515","pRDA","Hellinger-Mahalanobis"
"Season",2,354.84639845066,2.5814725535017,0.045,"0.00333505927185217","-0.00131071830170904","pRDA","Hellinger-Mahalanobis"
"Salinity",1,413.78867058928,6.02054354075519,0.005,"0.0277026066163534","0.0239118307040028","pRDA","Hellinger-Mahalanobis"
"Residual1",170,11684.0071870577,NA,NA,"NA","NA","pRDA","Hellinger-Mahalanobis"
