"","Df","Variance","F","Pr..F.","R2","adj.R2","model","transfo"
"Model",5,3763.30205128627,2.66176223553315,0.036,"0.376926062752407","0.235318349741591","Complete","Hellinger-Mahalanobis"
"Residual",22,6220.88960637121,NA,NA,"NA","NA","Complete","Hellinger-Mahalanobis"
"Longitude",1,377.137572051871,1.33373634803672,0.252,"0.0377734708009752","0.0110957417986053","pRDA","Hellinger-Mahalanobis"
"Latitude",1,356.651497494525,1.26128792525809,0.268,"0.0357216197087905","0.00868704703821455","pRDA","Hellinger-Mahalanobis"
"Depth_m",1,828.011144240372,2.92823797333291,0.09,"0.0829322165110198","0.0641081824147446","pRDA","Hellinger-Mahalanobis"
"Temperature",1,325.815873619511,1.15223861427923,0.294,"0.0326331750021662","0.00506148151304686","pRDA","Hellinger-Mahalanobis"
"Salinity",1,288.955786120488,1.02188395822682,0.319,"0.0289413300573874","0.000727576577871814","pRDA","Hellinger-Mahalanobis"
"Residual1",22,6220.88960637121,NA,NA,"NA","NA","pRDA","Hellinger-Mahalanobis"
