"","Df","Variance","F","Pr..F.","R2","adj.R2","model","transfo"
"Model",3,0.118691599856422,4.74443830956555,0.001,"0.15431858802538","0.12179237987251","Complete","Hellinger"
"Residual",78,0.650441926928451,NA,NA,"NA","NA","Complete","Hellinger"
"Longitude",1,0.0183629505951723,2.20205692026523,0.013,"0.0238748539176717","0.0133627284456193","pRDA","Hellinger"
"Latitude",1,0.0116160782353633,1.39298231686409,0.099,"0.0151028109305291","0.00436860842082754","pRDA","Hellinger"
"Depth_m",1,0.0577550238643363,6.92589403437053,0.001,"0.0750910236688852","0.0658755100892685","pRDA","Hellinger"
"Residual1",78,0.650441926928451,NA,NA,"NA","NA","pRDA","Hellinger"
