"","Df","Variance","F","Pr..F.","R2","adj.R2","model","transfo"
"Model",5,42.3804511682289,3.49553762549047,0.001,"0.225583500874486","0.161048792614027","Complete","Hellinger-Mahalanobis"
"Residual",60,145.489898409372,NA,NA,"NA","NA","Complete","Hellinger-Mahalanobis"
"Longitude",1,1.69748764190157,0.700043505615187,0.531,"0.00902812157253457","0.00391563087603541","pRDA","Hellinger-Mahalanobis"
"Latitude",1,6.880757343623,2.83762271560418,0.053,"0.0010396300662839","-0.00426770188646508","pRDA","Hellinger-Mahalanobis"
"Depth_m",1,7.23968160737388,2.98564299784026,0.04,"0.00181327753976709","-0.00347518496240939","pRDA","Hellinger-Mahalanobis"
"Temperature",1,5.46039814084136,2.25186691332088,0.078,"0.0643865213222167","0.0606242354976608","pRDA","Hellinger-Mahalanobis"
"Salinity",1,6.93971669347579,2.86193753766292,0.041,"0.0786394597311549","0.0752248065507195","pRDA","Hellinger-Mahalanobis"
"Residual1",60,145.489898409372,NA,NA,"NA","NA","pRDA","Hellinger-Mahalanobis"
