"","Df","Variance","F","Pr..F.","R2","adj.R2","model","transfo"
"Model",5,4677.60417829713,0.98113243953045,0.443,"0.246445566539898","-0.00473924461346886","Complete","Hellinger-Mahalanobis"
"Residual",15,14302.6690072619,NA,NA,"NA","NA","Complete","Hellinger-Mahalanobis"
"Longitude",1,482.103341223727,0.505608436766889,0.658,"0.0254002319413664","-0.0310459128616339","pRDA","Hellinger-Mahalanobis"
"Latitude",1,437.457293788762,0.458785657662902,0.671,"0.0230479977559854","-0.03398620559336","pRDA","Hellinger-Mahalanobis"
"Depth_m",1,473.048188391227,0.496111797194336,0.646,"0.0249231496178428","-0.031642265766038","pRDA","Hellinger-Mahalanobis"
"Temperature",1,50.8902235047772,0.0533713918838562,0.999,"0.00268121659826734","-0.0594446820405077","pRDA","Hellinger-Mahalanobis"
"Salinity",1,52.1135490011438,0.054654360988167,0.995,"0.00274566906870326","-0.0593641164524629","pRDA","Hellinger-Mahalanobis"
"Residual1",15,14302.6690072619,NA,NA,"NA","NA","pRDA","Hellinger-Mahalanobis"
