"","Df","Variance","F","Pr..F.","R2","adj.R2","model","transfo"
"Model",5,24265.5709734062,5.43973878731296,0.001,"0.315534872913282","0.257529353668644","Complete","Hellinger-Mahalanobis"
"Residual",59,52637.4057066869,NA,NA,"NA","NA","Complete","Hellinger-Mahalanobis"
"Longitude",1,557.692398569314,0.625103974518438,0.498,"0.00195924746113303","-0.00283917935819022","pRDA","Hellinger-Mahalanobis"
"Latitude",1,249.006886344549,0.279105820225901,0.814,"0.0034380119566079","-0.00132622377611469","pRDA","Hellinger-Mahalanobis"
"Depth_m",1,273.839858489737,0.30694050046699,0.775,"0.00704382098832525","0.00236295656269414","pRDA","Hellinger-Mahalanobis"
"Temperature",1,230.877022864799,0.258784493007274,0.833,"0.0355742233378415","0.0315530213942804","pRDA","Hellinger-Mahalanobis"
"Salinity",1,735.046470549561,0.823895881268989,0.412,"0.0637978175185404","0.0604291842265562","pRDA","Hellinger-Mahalanobis"
"Residual1",59,52637.4057066869,NA,NA,"NA","NA","pRDA","Hellinger-Mahalanobis"
