"","Df","Variance","F","Pr..F.","R2","adj.R2","model","transfo"
"Model",5,9827.49646042244,0.893610559356882,0.523,"0.133502024271149","-0.0158941784407218","Complete","Hellinger-Mahalanobis"
"Residual",29,63785.5930344778,NA,NA,"NA","NA","Complete","Hellinger-Mahalanobis"
"Longitude",1,1202.82776359474,0.546863382227907,0.568,"0.00195924746113303","-0.00283917935819022","pRDA","Hellinger-Mahalanobis"
"Latitude",1,2029.47325932862,0.922696203337285,0.342,"0.0034380119566079","-0.00132622377611469","pRDA","Hellinger-Mahalanobis"
"Depth_m",1,1807.83788851521,0.821930098519309,0.385,"0.00704382098832525","0.00236295656269414","pRDA","Hellinger-Mahalanobis"
"Temperature",1,1263.41678890323,0.574410068718638,0.557,"0.0355742233378415","0.0315530213942804","pRDA","Hellinger-Mahalanobis"
"Salinity",1,2818.97342976148,1.28164097210627,0.25,"0.0637978175185404","0.0604291842265562","pRDA","Hellinger-Mahalanobis"
"Residual1",29,63785.5930344778,NA,NA,"NA","NA","pRDA","Hellinger-Mahalanobis"
