"","Df","Variance","F","Pr..F.","R2","adj.R2","model","transfo"
"Model",5,2.67716367798123,1.70093811335791,0.025,"0.226763384479712","0.093446726631387","Complete","Hellinger-Mahalanobis"
"Residual",29,9.12881498177346,NA,NA,"NA","NA","Complete","Hellinger-Mahalanobis"
"Longitude",1,0.954043085720516,3.03076024008979,0.022,"0.00902812157253457","0.00391563087603541","pRDA","Hellinger-Mahalanobis"
"Latitude",1,0.367072037712656,1.1660975838508,0.277,"0.0010396300662839","-0.00426770188646508","pRDA","Hellinger-Mahalanobis"
"Depth_m",1,0.278726492124777,0.885445513766809,0.457,"0.00181327753976709","-0.00347518496240939","pRDA","Hellinger-Mahalanobis"
"Temperature",1,0.909424791279406,2.88901889234907,0.024,"0.0643865213222167","0.0606242354976608","pRDA","Hellinger-Mahalanobis"
"Salinity",1,0.529749500280449,1.68288387252959,0.121,"0.0786394597311549","0.0752248065507195","pRDA","Hellinger-Mahalanobis"
"Residual1",29,9.12881498177346,NA,NA,"NA","NA","pRDA","Hellinger-Mahalanobis"
