"","Df","Variance","F","Pr..F.","R2","adj.R2","model","transfo"
"Model",3,0.0971053807839111,3.55544925272304,0.001,"0.157631497953595","0.113296313635364","Complete","Hellinger"
"Residual",57,0.518922393135344,NA,NA,"NA","NA","Complete","Hellinger"
"Longitude",1,0.0361706253486355,3.97309052788263,0.004,"0.0587159002888992","0.0454525919132641","pRDA","Hellinger"
"Latitude",1,0.0113606789564702,1.24789122436253,0.251,"0.0184418291470721","0.00378975969758089","pRDA","Hellinger"
"Depth_m",1,0.0164479752405475,1.80669518431571,0.091,"0.0267000546678323","0.0123327516156088","pRDA","Hellinger"
"Residual1",57,0.518922393135344,NA,NA,"NA","NA","pRDA","Hellinger"
