"","class.index","Mantel.cor","Pr.Mantel","Pr.corrected","distance","Signif"
"1",3.46153846153846,0.161387834183313,0.001,0.001,"Depth|2D","yes"
"2",6.92307692307692,0.0753086269324624,0.001,0.002,"Depth|2D","yes"
"3",10.3846153846154,-0.0209194680354436,0.154,0.462,"Depth|2D","no"
"4",13.8461538461538,0.0104869738715601,0.33,1.32,"Depth|2D","no"
"5",17.3076923076923,-0.0177981205242488,0.228,1.14,"Depth|2D","no"
"6",20.7692307692308,-0.0254747968935132,0.115,0.69,"Depth|2D","no"
"7",24.2307692307692,-0.0151206699760552,0.222,1.554,"Depth|2D","no"
"8",27.6923076923077,-0.0721545044586244,0.002,0.016,"Depth|2D","yes"
"9",31.1538461538462,-0.0941689603430024,0.001,0.009,"Depth|2D","yes"
"10",34.6153846153846,-0.0602620661374282,0.007,0.07,"Depth|2D","no"
"11",38.0769230769231,-0.0818097995434371,0.001,0.011,"Depth|2D","yes"
"12",41.5384615384615,-0.0693005285441184,0.001,0.012,"Depth|2D","yes"
"13",46,-0.054198813276017,0.007,0.091,"Depth|2D","no"
"14",2010.95524301661,0.0669103223893295,0.083,0.083,"2D|Depth","no"
"15",4021.91048603322,-0.0542394556692612,0.054,0.108,"2D|Depth","no"
"16",6032.86572904983,0.0587752529513668,0.016,0.048,"2D|Depth","yes"
"17",8043.82097206644,0.0277053576888429,0.271,1.084,"2D|Depth","no"
"18",10054.776215083,0.0646629248174719,0.005,0.025,"2D|Depth","yes"
"19",12065.7314580997,0.0455707837993337,0.066,0.396,"2D|Depth","no"
"20",14076.6867011163,-0.087290004778746,0.006,0.042,"2D|Depth","yes"
"21",16087.6419441329,-0.110926839276891,0.002,0.016,"2D|Depth","yes"
"22",18098.5971871495,-0.0121461937986393,0.358,3.222,"2D|Depth","no"
"23",20109.5524301661,0.0152390191462797,0.178,1.78,"2D|Depth","no"
"24",22120.5076731827,0.0570164991816753,0.008,0.088,"2D|Depth","no"
"25",24131.4629161993,0.0831705468589475,0.001,0.012,"2D|Depth","yes"
"26",26143.4181592159,0.0543126708467351,0.01,0.13,"2D|Depth","no"
"27",2011.87859205857,0.271145965650986,0.001,0.001,"3D","yes"
"28",4022.75718411714,0.000104868380588878,0.528,1.056,"3D","no"
"29",6033.63577617571,0.00236161264356695,0.436,1.308,"3D","no"
"30",8044.51436823428,-0.104095294404406,0.016,0.064,"3D","no"
"31",10055.3929602929,-0.0121368427748946,0.355,1.775,"3D","no"
"32",12066.2715523514,-0.0508127412638959,0.074,0.444,"3D","no"
"33",14077.15014441,-0.153777176723609,0.001,0.007,"3D","yes"
"34",16088.0287364686,-0.188075070924928,0.001,0.008,"3D","yes"
"35",18098.9073285271,-0.016969520516339,0.291,2.619,"3D","no"
"36",20109.7859205857,0.0248051072679931,0.105,1.05,"3D","no"
"37",22120.6645126443,0.0450730785363634,0.022,0.242,"3D","no"
"38",24131.5431047029,0.0728460700155004,0.002,0.024,"3D","yes"
"39",26143.4216967614,0.0503135493920188,0.019,0.247,"3D","no"
