"","Df","Variance","F","Pr..F.","R2","adj.R2","model","transfo"
"Model",5,0.103557584762219,2.44837957715129,0.001,"0.164892038517042","0.0975446222684165","Complete","Hellinger"
"Residual",62,0.524475070383324,NA,NA,"NA","NA","Complete","Hellinger"
"Longitude",1,0.0121302520509835,1.4339587706453,0.178,"0.00462424565189183","-0.000392690734318135","pRDA","Hellinger"
"Latitude",1,0.00581372223120358,0.687260079056148,0.702,"0.0122460285859288","0.0074073795198133","pRDA","Hellinger"
"Depth_m",1,0.00868243259393353,1.02638018701336,0.388,"0.0132148372996522","0.00839885042567079","pRDA","Hellinger"
"Temperature",1,0.00761923107943796,0.90069548316166,0.507,"0.0323670694962412","0.0279990880537586","pRDA","Hellinger"
"Salinity",1,0.00555179938987316,0.656297280098674,0.738,"0.0275966767713893","0.0231171071949922","pRDA","Hellinger"
"Residual1",62,0.524475070383324,NA,NA,"NA","NA","pRDA","Hellinger"
