"","Df","Variance","F","Pr..F.","R2","adj.R2","model","transfo"
"Model",5,0.254173193931777,3.00478168210893,0.005,"0.441569152763428","0.294613666648541","Complete","Hellinger"
"Residual",19,0.321440370424135,NA,NA,"NA","NA","Complete","Hellinger"
"Longitude",1,0.0733971438422452,4.33842746996147,0.008,"0.00462424565189183","-0.000392690734318135","pRDA","Hellinger"
"Latitude",1,0.136011984533198,8.03952441543329,0.001,"0.0122460285859288","0.0074073795198133","pRDA","Hellinger"
"Depth_m",1,0.122552254869693,7.24393404428869,0.001,"0.0132148372996522","0.00839885042567079","pRDA","Hellinger"
"Temperature",1,0.0477042223264694,2.81974607920893,0.047,"0.0323670694962412","0.0279990880537586","pRDA","Hellinger"
"Salinity",1,0.0464719586214339,2.74690827615145,0.036,"0.0275966767713893","0.0231171071949922","pRDA","Hellinger"
"Residual1",19,0.321440370424135,NA,NA,"NA","NA","pRDA","Hellinger"
