"","class.index","Mantel.cor","Pr.Mantel","Pr.corrected","distance","Signif"
"1",3.46153846153846,0.127868829811239,0.002,0.002,"Depth|2D","yes"
"2",6.92307692307692,-0.00680593989039752,0.403,0.806,"Depth|2D","no"
"3",10.3846153846154,-0.0268498451153146,0.138,0.414,"Depth|2D","no"
"4",13.8461538461538,-0.0217007850152478,0.215,0.86,"Depth|2D","no"
"5",17.3076923076923,-0.00622112486043229,0.44,2.2,"Depth|2D","no"
"6",20.7692307692308,-0.00955076962786853,0.332,1.992,"Depth|2D","no"
"7",24.2307692307692,-0.0344714002368414,0.059,0.413,"Depth|2D","no"
"8",27.6923076923077,-0.00231970402765331,0.46,3.68,"Depth|2D","no"
"9",31.1538461538462,0.0142007602439861,0.342,3.078,"Depth|2D","no"
"10",34.6153846153846,-0.0244309031292164,0.257,2.57,"Depth|2D","no"
"11",38.0769230769231,-0.0637411151639018,0.011,0.121,"Depth|2D","no"
"12",41.5384615384615,-0.0394609503540467,0.071,0.852,"Depth|2D","no"
"13",46,-0.0618293471601124,0.013,0.169,"Depth|2D","no"
"14",2010.95524301661,-0.0244143506778017,0.377,0.377,"2D|Depth","no"
"15",4021.91048603322,0.0868614261202776,0.017,0.034,"2D|Depth","yes"
"16",6032.86572904983,0.0219204126512455,0.32,0.96,"2D|Depth","no"
"17",8043.82097206644,0.0083881774138313,0.509,2.036,"2D|Depth","no"
"18",10054.776215083,0.0566620564478243,0.071,0.355,"2D|Depth","no"
"19",12065.7314580997,-0.0359094868668319,0.213,1.278,"2D|Depth","no"
"20",14076.6867011163,-0.0575700627498751,0.13,0.91,"2D|Depth","no"
"21",16087.6419441329,0.0124013697212418,0.435,3.48,"2D|Depth","no"
"22",18098.5971871495,-0.00370098047062002,0.442,3.978,"2D|Depth","no"
"23",20109.5524301661,-0.0328545836215542,0.079,0.79,"2D|Depth","no"
"24",22120.5076731827,-0.0468784190555338,0.045,0.495,"2D|Depth","no"
"25",24131.4629161993,-0.044201762183002,0.068,0.816,"2D|Depth","no"
"26",26143.4181592159,-0.0503686250004313,0.003,0.039,"2D|Depth","yes"
"27",2011.87859205857,0.101460694618701,0.085,0.085,"3D","no"
"28",4022.75718411714,0.111214531990214,0.004,0.008,"3D","yes"
"29",6033.63577617571,-0.0080458180423222,0.408,1.224,"3D","no"
"30",8044.51436823428,-0.0607715744721159,0.177,0.708,"3D","no"
"31",10055.3929602929,0.0158514870219063,0.463,2.315,"3D","no"
"32",12066.2715523514,-0.0841866357962808,0.05,0.3,"3D","no"
"33",14077.15014441,-0.0947841431994845,0.037,0.259,"3D","no"
"34",16088.0287364686,-0.0355635642692474,0.26,2.08,"3D","no"
"35",18098.9073285271,-0.00704103019233725,0.386,3.474,"3D","no"
"36",20109.7859205857,-0.0266564875094721,0.111,1.11,"3D","no"
"37",22120.6645126443,-0.050539072015069,0.033,0.363,"3D","no"
"38",24131.5431047029,-0.046132087300118,0.053,0.636,"3D","no"
"39",26143.4216967614,-0.0497339070678861,0.078,1.014,"3D","no"
