"","class.index","Mantel.cor","Pr.Mantel","Pr.corrected","distance","Signif"
"1",5.12555555555555,0.250823602469613,0.001,0.001,"Depth|2D","yes"
"2",10.1611111111111,0.15737083582351,0.005,0.01,"Depth|2D","yes"
"3",15.1966666666667,0.10348594573762,0.032,0.096,"Depth|2D","no"
"4",20.2322222222222,0.0629974204054655,0.128,0.512,"Depth|2D","no"
"5",25.2677777777778,-0.092737624026373,0.052,0.26,"Depth|2D","no"
"6",30.3033333333333,-0.00147275353585733,0.485,2.91,"Depth|2D","no"
"7",35.3388888888889,-0.22537714896711,0.001,0.007,"Depth|2D","yes"
"8",40.3744444444444,-0.168402337100894,0.003,0.024,"Depth|2D","yes"
"9",46.41,-0.285596134533351,0.001,0.009,"Depth|2D","yes"
"10",13716.3462493029,0.24385464195693,0.001,0.001,"2D|Depth","yes"
"11",27228.614713543,-0.0152583358350911,0.417,0.834,"2D|Depth","no"
"12",40740.8831777831,0.0244790258356293,0.366,1.098,"2D|Depth","no"
"13",54253.1516420233,0.0178714391583858,0.381,1.524,"2D|Depth","no"
"14",67765.4201062634,0.0397175261942183,0.277,1.385,"2D|Depth","no"
"15",81277.6885705035,-0.252222465990072,0.001,0.006,"2D|Depth","yes"
"16",94789.9570347436,-0.0486375432092718,0.24,1.68,"2D|Depth","no"
"17",108302.225498984,-0.020160021778507,0.363,2.904,"2D|Depth","no"
"18",121815.493963224,-0.0480199637832591,0.25,2.25,"2D|Depth","no"
"19",13717.0006447206,0.18704672193172,0.003,0.003,"3D","yes"
"20",27229.1873132187,-0.0257030544776276,0.342,0.684,"3D","no"
"21",40741.3739817167,0.0371286272455546,0.302,0.906,"3D","no"
"22",54253.5606502147,0.0305727474560746,0.298,1.192,"3D","no"
"23",67765.7473187127,0.0371123999972725,0.275,1.375,"3D","no"
"24",81277.9339872107,-0.216451909401153,0.001,0.006,"3D","yes"
"25",94790.1206557087,-0.0434573801775999,0.259,1.813,"3D","no"
"26",108302.307324207,-0.0124692478903054,0.406,3.248,"3D","no"
"27",121815.493992705,-0.0394065403401064,0.281,2.529,"3D","no"
