"","sample_id","project","locus","seqdepth_ok","artefact_type","nb_reads_postmetabaR","nb_motus_postmetabaR"
"231","ADE_21_00476","PPO.Godbout.2021","COI",TRUE,"Not artefactual",5055,32
"232","ADE_21_00477","PPO.Godbout.2021","COI",TRUE,"Not artefactual",446,4
"234","ADE_21_00479","PPO.Godbout.2021","COI",TRUE,"Not artefactual",1348,9
"235","ADE_21_00480","PPO.Godbout.2021","COI",TRUE,"Not artefactual",6455,36
"236","ADE_21_00481","PPO.Godbout.2021","COI",TRUE,"Not artefactual",3039,20
"238","ADE_21_00483","PPO.Godbout.2021","COI",TRUE,"Not artefactual",3559,52
"239","ADE_21_00484","PPO.Godbout.2021","COI",TRUE,"Not artefactual",1632,19
"240","ADE_21_00485","PPO.Godbout.2021","COI",TRUE,"Not artefactual",3247,24
"242","ADE_21_00487","PPO.Godbout.2021","COI",TRUE,"Not artefactual",4971,54
"243","ADE_21_00488","PPO.Godbout.2021","COI",TRUE,"Not artefactual",5938,76
"244","ADE_21_00489","PPO.Godbout.2021","COI",TRUE,"Not artefactual",400,6
"245","ADE_21_00490","PPO.Godbout.2021","COI",TRUE,"Not artefactual",3366,25
"246","ADE_21_00491","PPO.Godbout.2021","COI",TRUE,"Not artefactual",2941,43
"247","ADE_21_00492","PPO.Godbout.2021","COI",TRUE,"Not artefactual",6348,68
"248","ADE_21_00493","PPO.Godbout.2021","COI",TRUE,"Not artefactual",867,9
"249","ADE_21_00494","PPO.Godbout.2021","COI",TRUE,"Not artefactual",5447,48
"250","ADE_21_00496","PPO.Godbout.2021","COI",TRUE,"Not artefactual",6406,84
"251","ADE_21_00497","PPO.Godbout.2021","COI",TRUE,"Not artefactual",552,8
"252","ADE_21_00498","PPO.Godbout.2021","COI",FALSE,"Low sequencing depth",55,1
"253","ADE_21_00499","PPO.Godbout.2021","COI",TRUE,"Not artefactual",310,2
"254","ADE_21_00500","PPO.Godbout.2021","COI",TRUE,"Not artefactual",3487,22
"255","ADE_21_00501","PPO.Godbout.2021","COI",TRUE,"Not artefactual",1614,16
"257","ADE_21_00503","PPO.Godbout.2021","COI",TRUE,"Not artefactual",4564,25
"258","ADE_21_00504","PPO.Godbout.2021","COI",TRUE,"Not artefactual",2843,20
"259","ADE_21_00506","PPO.Godbout.2021","COI",TRUE,"Not artefactual",6510,50
