"","X","ID_ADNe","Site","ID_reception","Latitude","Longitude","Depth_CTD","Tide","Depth_m","Temperature","Salinity","Date","Project","Locus"
"72",72,"ADE_21_00415","Godbout","11M3-c",49.3003240227699,-67.698737019673,"12.26",2.6,9.66,"12.77","27.19","2021-08-24","PPO.Godbout.2021","COI"
"76",76,"ADE_21_00416","Godbout","6M1-b",49.3023119587451,-67.6989420410246,"7.42",2.5,4.92,"8.64","28.5","2021-08-24","PPO.Godbout.2021","COI"
"80",80,"ADE_21_00417","Godbout","2M1-b",49.3028980214149,-67.6991899777204,"3.86",2.9,0.96,"14.62","26.68","2021-08-24","PPO.Godbout.2021","COI"
"84",84,"ADE_21_00418","Godbout","11M3-b",49.3003240227699,-67.698737019673,"12.26",2.6,9.66,"12.77","27.19","2021-08-24","PPO.Godbout.2021","COI"
"92",92,"ADE_21_00420","Godbout","2M1-a",49.3028980214149,-67.6991899777204,"3.86",2.9,0.96,"14.62","26.68","2021-08-24","PPO.Godbout.2021","COI"
"96",96,"ADE_21_00421","Godbout","2M1-c",49.3028980214149,-67.6991899777204,"3.86",2.9,0.96,"14.62","26.68","2021-08-24","PPO.Godbout.2021","COI"
"100",100,"ADE_21_00422","Godbout","2M3-b",49.3025690317154,-67.698485981673,"4.62",2.9,1.72,"12.22","27.45","2021-08-24","PPO.Godbout.2021","COI"
"104",104,"ADE_21_00423","Godbout","11M2-b",49.3003419600427,-67.6990110240877,"12.3",2.1,10.2,"11.75","27.43","2021-08-24","PPO.Godbout.2021","COI"
"108",108,"ADE_21_00424","Godbout","2M4-c",49.3024429678917,-67.6983200199902,"6.26",2.9,3.36,"9.61","28.3","2021-08-24","PPO.Godbout.2021","COI"
"112",112,"ADE_21_00425","Godbout","11M1-b",49.3004759866744,-67.6991869602352,"11.5",2.1,9.4,"12.1","26.98","2021-08-24","PPO.Godbout.2021","COI"
"120",120,"ADE_21_00427","Godbout","2M2-b",49.3027069978416,-67.6988060027361,"3.92",2.9,1.02,"13.15","27.06","2021-08-24","PPO.Godbout.2021","COI"
"124",124,"ADE_21_00428","Godbout","2M4-b",49.3024429678917,-67.6983200199902,"6.26",2.9,3.36,"9.61","28.3","2021-08-24","PPO.Godbout.2021","COI"
"128",128,"ADE_21_00429","Godbout","6M3-a",49.3021279759705,-67.6982999872416,"7.67",1.9,5.77,"10.85","27.84","2021-08-24","PPO.Godbout.2021","COI"
