"","X","ID_ADNe","Site","ID_reception","Latitude","Longitude","Depth_CTD","Tide","Depth_m","Temperature","Salinity","Date","Project","Locus"
"307",307,"ADE_21_00475","Godbout","11M1-b",49.300606995821,-67.6987810246646,"12.3",2.2,10.1,"3.44","29.21","2021-06-03","PPO.Godbout.2021","16Schord"
"311",311,"ADE_21_00476","Godbout","14M2-c",49.2990909609944,-67.6989629957825,"18.66",2.6,16.06,"1.31","31.17","2021-06-03","PPO.Godbout.2021","16Schord"
"315",315,"ADE_21_00477","Godbout","2M2-c",49.3027289584279,-67.6986409630626,"4.3499999999999996",2.8,1.55,"7.06","26.39","2021-06-03","PPO.Godbout.2021","16Schord"
"323",323,"ADE_21_00479","Godbout","2M3-a",49.3026820197701,-67.6983819622546,"3.5",2.8,0.7,"8.51","25.6","2021-06-03","PPO.Godbout.2021","16Schord"
"327",327,"ADE_21_00480","Godbout","14M2-a",49.2990909609944,-67.6989629957825,"18.66",2.6,16.06,"1.31","31.17","2021-06-03","PPO.Godbout.2021","16Schord"
"331",331,"ADE_21_00481","Godbout","14M3-b",49.2990489676595,-67.698634006083,"18.28",2.8,15.48,"1.36","31.12","2021-06-03","PPO.Godbout.2021","16Schord"
"339",339,"ADE_21_00483","Godbout","2M2-a",49.3027289584279,-67.6986409630626,"4.3499999999999996",2.8,1.55,"7.06","26.39","2021-06-03","PPO.Godbout.2021","16Schord"
"343",343,"ADE_21_00484","Godbout","2M3-b",49.3026820197701,-67.6983819622546,"3.5",2.8,0.7,"8.51","25.6","2021-06-03","PPO.Godbout.2021","16Schord"
"347",347,"ADE_21_00485","Godbout","2M1-b",49.3027430400252,-67.6989779993892,"4.7699999999999996",2.8,1.97,"6.5","26.74","2021-06-03","PPO.Godbout.2021","16Schord"
"351",351,"ADE_21_00486","Godbout","14M1-c",49.2992180306464,-67.699617035687,"18.670000000000002",2.6,16.07,"2.0499999999999998","30.46","2021-06-03","PPO.Godbout.2021","16Schord"
"355",355,"ADE_21_00487","Godbout","20M4-c",49.2987400107086,-67.6982600055635,"21.37",2.6,18.77,"1.54","30.8","2021-06-03","PPO.Godbout.2021","16Schord"
"359",359,"ADE_21_00488","Godbout","11M1-a",49.300606995821,-67.6987810246646,"12.3",2.2,10.1,"3.44","29.21","2021-06-03","PPO.Godbout.2021","16Schord"
"363",363,"ADE_21_00489","Godbout","40M1-a",49.2948440182954,-67.6989999599755,"36.840000000000003",1.9,34.94,"1.01","31.35","2021-06-03","PPO.Godbout.2021","16Schord"
"367",367,"ADE_21_00490","Godbout","11M4-a",49.3002920038998,-67.6980160083622,"12.23",1.8,10.43,"3.7","28.81","2021-06-03","PPO.Godbout.2021","16Schord"
"371",371,"ADE_21_00491","Godbout","11M4-c",49.3002920038998,-67.6980160083622,"12.23",1.8,10.43,"3.7","28.81","2021-06-03","PPO.Godbout.2021","16Schord"
"375",375,"ADE_21_00492","Godbout","11M4-b",49.3002920038998,-67.6980160083622,"12.23",1.8,10.43,"3.7","28.81","2021-06-03","PPO.Godbout.2021","16Schord"
"379",379,"ADE_21_00493","Godbout","11M3-a",49.3004090152681,-67.6982829719782,"12.76",1.8,10.96,"3.78","28.91","2021-06-03","PPO.Godbout.2021","16Schord"
"383",383,"ADE_21_00494","Godbout","11M2-c",49.3004980310798,-67.6984900049865,"12.19",2.2,9.99,"3.76","28.92","2021-06-03","PPO.Godbout.2021","16Schord"
"387",387,"ADE_21_00496","Godbout","40M1-b",49.2948440182954,-67.6989999599755,"36.840000000000003",1.9,34.94,"1.01","31.35","2021-06-03","PPO.Godbout.2021","16Schord"
"395",395,"ADE_21_00498","Godbout","11M3-c",49.3004090152681,-67.6982829719782,"12.76",1.8,10.96,"3.78","28.91","2021-06-03","PPO.Godbout.2021","16Schord"
"399",399,"ADE_21_00499","Godbout","11M3-b",49.3004090152681,-67.6982829719782,"12.76",1.8,10.96,"3.78","28.91","2021-06-03","PPO.Godbout.2021","16Schord"
"403",403,"ADE_21_00500","Godbout","40M1-c",49.2948440182954,-67.6989999599755,"36.840000000000003",1.9,34.94,"1.01","31.35","2021-06-03","PPO.Godbout.2021","16Schord"
"411",411,"ADE_21_00502","Godbout","20M2-b",49.29887,-67.69871,"19.71",2.7,17.01,"1.32","31.1","2021-06-01","PPO.Godbout.2021","16Schord"
"415",415,"ADE_21_00503","Godbout","20M2-c",49.29887,-67.69871,"19.71",2.7,17.01,"1.32","31.1","2021-06-01","PPO.Godbout.2021","16Schord"
"423",423,"ADE_21_00506","Godbout","20M3-a",49.29881,-67.69819,"21.85",2.2,19.65,"1.33","31.12","2021-06-01","PPO.Godbout.2021","16Schord"
"431",431,"ADE_21_00508","Godbout","20M1-b",49.29887,-67.69897,"23",2.7,20.3,"1.0900000000000001","31.33","2021-06-01","PPO.Godbout.2021","16Schord"
"435",435,"ADE_21_00509","Godbout","20M1-c",49.29887,-67.69897,"23",2.7,20.3,"1.0900000000000001","31.33","2021-06-01","PPO.Godbout.2021","16Schord"
"439",439,"ADE_21_00510","Godbout","20M2-a",49.29887,-67.69871,"19.71",2.7,17.01,"1.32","31.1","2021-06-01","PPO.Godbout.2021","16Schord"
"443",443,"ADE_21_00511","Godbout","40M4-a",49.2945959977806,-67.6983600016683,"41.38",2.3,39.08,"2.35","31.39","2021-08-25","PPO.Godbout.2021","16Schord"
"447",447,"ADE_21_00512","Godbout","14M3-a",49.2992170248181,-67.698588995263,"15.07",0.4,14.67,"4.96","30.19","2021-08-25","PPO.Godbout.2021","16Schord"
"451",451,"ADE_21_00513","Godbout","14M2-b",49.2992600239813,-67.6989319827408,"14.57",0.4,14.17,"5.58","29.79","2021-08-25","PPO.Godbout.2021","16Schord"
"455",455,"ADE_21_00514","Godbout","14M3-b",49.2992170248181,-67.698588995263,"15.07",0.4,14.67,"4.96","30.19","2021-08-25","PPO.Godbout.2021","16Schord"
"459",459,"ADE_21_00515","Godbout","40M2-a",49.2947560083121,-67.6991670113057,"41.67",2.3,39.37,"4.26","31.37","2021-08-25","PPO.Godbout.2021","16Schord"
"463",463,"ADE_21_00516","Godbout","10M4-a",49.3008450418711,-67.697976026684,"9.17",0.5,8.67,"13.76","26.93","2021-08-25","PPO.Godbout.2021","16Schord"
"467",467,"ADE_21_00517","Godbout","10M2-a",49.3010369874537,-67.6988319866359,"9.85",1,8.85,"12.22","27.32","2021-08-25","PPO.Godbout.2021","16Schord"
"471",471,"ADE_21_00518","Godbout","10M4-b",49.3008450418711,-67.697976026684,"9.17",0.5,8.67,"13.76","26.93","2021-08-25","PPO.Godbout.2021","16Schord"
"475",475,"ADE_21_00519","Godbout","14M3-c",49.2992170248181,-67.698588995263,"15.07",0.4,14.67,"4.96","30.19","2021-08-25","PPO.Godbout.2021","16Schord"
"479",479,"ADE_21_00520","Godbout","14M2-a",49.2992600239813,-67.6989319827408,"14.57",0.4,14.17,"5.58","29.79","2021-08-25","PPO.Godbout.2021","16Schord"
"483",483,"ADE_21_00521","Godbout","20M3-c",49.2987069860101,-67.6986839622259,"19.84",1,18.84,"4.6500000000000004","30.39","2021-08-25","PPO.Godbout.2021","16Schord"
"487",487,"ADE_21_00522","Godbout","40M3-b",49.2946219816804,-67.6986800227314,"40.799999999999997",2.3,38.5,"2.3199999999999998","31.32","2021-08-25","PPO.Godbout.2021","16Schord"
"491",491,"ADE_21_00523","Godbout","40M3-a",49.2946219816804,-67.6986800227314,"40.799999999999997",2.3,38.5,"2.3199999999999998","31.32","2021-08-25","PPO.Godbout.2021","16Schord"
"495",495,"ADE_21_00524","Godbout","14M4-c",49.2991519812495,-67.6982849836349,"13.59",0.6,12.99,"5.92","29.83","2021-08-25","PPO.Godbout.2021","16Schord"
"503",503,"ADE_21_00526","Godbout","20M1-a",49.2988939862698,-67.6992019638419,"18.399999999999999",0.6,17.8,"4.5599999999999996","30.28","2021-08-25","PPO.Godbout.2021","16Schord"
"507",507,"ADE_21_00527","Godbout","40M2-c",49.2947560083121,-67.6991670113057,"41.67",2.3,39.37,"4.26","31.37","2021-08-25","PPO.Godbout.2021","16Schord"
"511",511,"ADE_21_00528","Godbout","40M1-a",49.294716026634,-67.6992769818753,"41.28",1.7,39.58,"2.59","31.32","2021-08-25","PPO.Godbout.2021","16Schord"
"515",515,"ADE_21_00529","Godbout","14M4-a",49.2991519812495,-67.6982849836349,"13.59",0.6,12.99,"5.92","29.83","2021-08-25","PPO.Godbout.2021","16Schord"
"519",519,"ADE_21_00530","Godbout","10M3-a",49.3009379971772,-67.6984920166433,"9.08",0.5,8.58,"10.25","28.04","2021-08-25","PPO.Godbout.2021","16Schord"
"523",523,"ADE_21_00531","Godbout","10M1-b",49.3011229857802,-67.6991589646786,"10.210000000000001",1,9.21,"8.18","28.76","2021-08-25","PPO.Godbout.2021","16Schord"
"527",527,"ADE_21_00532","Godbout","14M2-c",49.2992600239813,-67.6989319827408,"14.57",0.4,14.17,"5.58","29.79","2021-08-25","PPO.Godbout.2021","16Schord"
