"","X","ID_ADNe","Site","ID_reception","Latitude","Longitude","Depth_CTD","Tide","Depth_m","Temperature","Salinity","Date","Project","Locus"
"1614",1614,"BDA20_044","CrA","CrA_ADN15_haut",48.6031357,-63.92766,NA,NA,21.5,NA,NA,"2020-07-26","BDA","COI"
"1618",1618,"BDA20_045","CrA","CrA_ADN15_fond",48.6031357,-63.92766,NA,NA,22.5,NA,NA,"2020-07-26","BDA","COI"
"1622",1622,"BDA20_046","CrA","CrA_ADN16_haut",48.6045005,-63.9216108,NA,NA,21,NA,NA,"2020-07-26","BDA","COI"
"1626",1626,"BDA20_047","CrA","CrA_ADN16_fond",48.6045005,-63.9216108,NA,NA,22,NA,NA,"2020-07-26","BDA","COI"
"1630",1630,"BDA20_048","CrA","CrA_ADN17_haut",48.604629,-63.9152497,NA,NA,25.2,NA,NA,"2020-07-26","BDA","COI"
"1634",1634,"BDA20_049","CrA","CrA_ADN17_fond",48.604629,-63.9152497,NA,NA,26.2,NA,NA,"2020-07-26","BDA","COI"
"1638",1638,"BDA20_050","CrA","CrA_ADN18_haut",48.6083948,-63.9303452,NA,NA,26.6,NA,NA,"2020-07-27","BDA","COI"
"1642",1642,"BDA20_051","CrA","CrA_ADN18_fond",48.6083948,-63.9303452,NA,NA,27.6,NA,NA,"2020-07-27","BDA","COI"
"1646",1646,"BDA20_052","CrA","CrA_ADN19_1_haut",48.6084645,-63.9241848,NA,NA,25.7,NA,NA,"2020-07-27","BDA","COI"
"1650",1650,"BDA20_053","CrA","CrA_ADN19_1_fond",48.6084645,-63.9241848,NA,NA,26.7,NA,NA,"2020-07-27","BDA","COI"
"1654",1654,"BDA20_054","CrA","CrA_ADN19_2_haut",48.6084008,-63.9242522,NA,NA,25.8,NA,NA,"2020-07-27","BDA","COI"
"1658",1658,"BDA20_055","CrA","CrA_ADN19_2_fond",48.6084008,-63.9242522,NA,NA,26.8,NA,NA,"2020-07-27","BDA","COI"
"1662",1662,"BDA20_056","CrA","CrA_ADN19_3_haut",48.6083855,-63.9242502,NA,NA,25.8,NA,NA,"2020-07-27","BDA","COI"
"1666",1666,"BDA20_057","CrA","CrA_ADN19_3_fond",48.6083855,-63.9242502,NA,NA,26.8,NA,NA,"2020-07-27","BDA","COI"
"1670",1670,"BDA20_058","CrA","CrA_ADN20_haut",48.6084278,-63.9180895,NA,NA,28.6,NA,NA,"2020-07-30","BDA","COI"
"1674",1674,"BDA20_059","CrA","CrA_ADN20_fond",48.6084278,-63.9180895,NA,NA,29.6,NA,NA,"2020-07-30","BDA","COI"
"1678",1678,"BDA20_060","CrB","CrB_ADN1_haut",48.528476,-63.8501073,NA,NA,57.7,NA,NA,"2020-07-31","BDA","COI"
"1682",1682,"BDA20_061","CrB","CrB_ADN1_fond",48.528476,-63.8501073,NA,NA,58.7,NA,NA,"2020-07-31","BDA","COI"
"1686",1686,"BDA20_062","CrB","CrB_ADN3_haut",48.5179513,-63.8263692,NA,NA,58.6,NA,NA,"2020-07-31","BDA","COI"
"1694",1694,"BDA20_064","CrB","CrB_ADN4_haut",48.5424143,-63.9418967,NA,NA,53.4,NA,NA,"2020-07-31","BDA","COI"
"1698",1698,"BDA20_065","CrB","CrB_ADN4_fond",48.5424143,-63.9418967,NA,NA,54.4,NA,NA,"2020-07-31","BDA","COI"
"1702",1702,"BDA20_066","CrB","CrB_ADN5_haut",48.6760543,-64.0288163,NA,NA,37.3,NA,NA,"2020-07-30","BDA","COI"
"1706",1706,"BDA20_067","CrB","CrB_ADN5_fond",48.6760543,-64.0288163,NA,NA,38.3,NA,NA,"2020-07-30","BDA","COI"
"1710",1710,"BDA20_068","CrB","CrB_ADN10_haut",48.6410495,-63.9858328,NA,NA,50.9,NA,NA,"2020-07-30","BDA","COI"
"1714",1714,"BDA20_069","CrB","CrB_ADN10_fond",48.6410495,-63.9858328,NA,NA,51.9,NA,NA,"2020-07-30","BDA","COI"
"1718",1718,"BDA20_070","CrB","CrB_ADN11_haut",48.6120723,-63.9435982,NA,NA,34.4,NA,NA,"2020-07-30","BDA","COI"
"1722",1722,"BDA20_071","CrB","CrB_ADN11_fond",48.6120723,-63.9435982,NA,NA,35.4,NA,NA,"2020-07-30","BDA","COI"
"1726",1726,"BDA20_072","CrB","CrB_ADN12_haut",48.6930478,-64.0629088,NA,NA,45,NA,NA,"2020-07-30","BDA","COI"
"1730",1730,"BDA20_073","CrB","CrB_ADN12_fond",48.6930478,-64.0629088,NA,NA,46,NA,NA,"2020-07-30","BDA","COI"
"1734",1734,"BDA20_074","CrB","CrB_ADN18_haut",48.6182613,-63.9418905,NA,NA,35.7,NA,NA,"2020-07-30","BDA","COI"
"1738",1738,"BDA20_075","CrB","CrB_ADN18_fond",48.6182613,-63.9418905,NA,NA,36.7,NA,NA,"2020-07-30","BDA","COI"
"1742",1742,"BDA20_076","CrB",NA,48.5373838,-63.8724842,NA,NA,NA,NA,NA,"2020-07-31","BDA","COI"
"1746",1746,"BDA20_077","CrB",NA,48.5373838,-63.8724842,NA,NA,NA,NA,NA,"2020-07-31","BDA","COI"
"1750",1750,"BDA20_078","CrB",NA,48.5211877,-63.8402262,NA,NA,NA,NA,NA,"2020-07-31","BDA","COI"
