"","X","ID_ADNe","Site","ID_reception","Latitude","Longitude","Depth_CTD","Tide","Depth_m","Temperature","Salinity","Date","Project","Locus"
"46",46,"ADE_21_00409","Godbout","6M2-b",49.3021790217608,-67.6985790207982,"6.79",2.5,4.29,"10.039999999999999","28.14","2021-08-24","PPO.Godbout.2021","MiFishU"
"50",50,"ADE_21_00410","Godbout","6M2-c",49.3021790217608,-67.6985790207982,"6.79",2.5,4.29,"10.039999999999999","28.14","2021-08-24","PPO.Godbout.2021","MiFishU"
"54",54,"ADE_21_00411","Godbout","2M3-a",49.3025690317154,-67.698485981673,"4.62",2.9,1.72,"12.22","27.45","2021-08-24","PPO.Godbout.2021","MiFishU"
"58",58,"ADE_21_00412","Godbout","2M2-a",49.3027069978416,-67.6988060027361,"3.92",2.9,1.02,"13.15","27.06","2021-08-24","PPO.Godbout.2021","MiFishU"
"62",62,"ADE_21_00413","Godbout","6M4-b",49.3020269740373,-67.698108041659,"8.16",1.9,6.26,"10.44","27.97","2021-08-24","PPO.Godbout.2021","MiFishU"
"66",66,"ADE_21_00414","Godbout","11M4-a",49.3002770002931,-67.6982409786433,"13.2",2.9,10.3,"6.23","29.42","2021-08-24","PPO.Godbout.2021","MiFishU"
"70",70,"ADE_21_00415","Godbout","11M3-c",49.3003240227699,-67.698737019673,"12.26",2.6,9.66,"12.77","27.19","2021-08-24","PPO.Godbout.2021","MiFishU"
"74",74,"ADE_21_00416","Godbout","6M1-b",49.3023119587451,-67.6989420410246,"7.42",2.5,4.92,"8.64","28.5","2021-08-24","PPO.Godbout.2021","MiFishU"
"78",78,"ADE_21_00417","Godbout","2M1-b",49.3028980214149,-67.6991899777204,"3.86",2.9,0.96,"14.62","26.68","2021-08-24","PPO.Godbout.2021","MiFishU"
"82",82,"ADE_21_00418","Godbout","11M3-b",49.3003240227699,-67.698737019673,"12.26",2.6,9.66,"12.77","27.19","2021-08-24","PPO.Godbout.2021","MiFishU"
"86",86,"ADE_21_00419","Godbout","6M2-a",49.3021790217608,-67.6985790207982,"6.79",2.5,4.29,"10.039999999999999","28.14","2021-08-24","PPO.Godbout.2021","MiFishU"
"90",90,"ADE_21_00420","Godbout","2M1-a",49.3028980214149,-67.6991899777204,"3.86",2.9,0.96,"14.62","26.68","2021-08-24","PPO.Godbout.2021","MiFishU"
"94",94,"ADE_21_00421","Godbout","2M1-c",49.3028980214149,-67.6991899777204,"3.86",2.9,0.96,"14.62","26.68","2021-08-24","PPO.Godbout.2021","MiFishU"
"98",98,"ADE_21_00422","Godbout","2M3-b",49.3025690317154,-67.698485981673,"4.62",2.9,1.72,"12.22","27.45","2021-08-24","PPO.Godbout.2021","MiFishU"
"102",102,"ADE_21_00423","Godbout","11M2-b",49.3003419600427,-67.6990110240877,"12.3",2.1,10.2,"11.75","27.43","2021-08-24","PPO.Godbout.2021","MiFishU"
"106",106,"ADE_21_00424","Godbout","2M4-c",49.3024429678917,-67.6983200199902,"6.26",2.9,3.36,"9.61","28.3","2021-08-24","PPO.Godbout.2021","MiFishU"
"110",110,"ADE_21_00425","Godbout","11M1-b",49.3004759866744,-67.6991869602352,"11.5",2.1,9.4,"12.1","26.98","2021-08-24","PPO.Godbout.2021","MiFishU"
"114",114,"ADE_21_00426","Godbout","11M3-a",49.3003240227699,-67.698737019673,"12.26",2.6,9.66,"12.77","27.19","2021-08-24","PPO.Godbout.2021","MiFishU"
"118",118,"ADE_21_00427","Godbout","2M2-b",49.3027069978416,-67.6988060027361,"3.92",2.9,1.02,"13.15","27.06","2021-08-24","PPO.Godbout.2021","MiFishU"
"122",122,"ADE_21_00428","Godbout","2M4-b",49.3024429678917,-67.6983200199902,"6.26",2.9,3.36,"9.61","28.3","2021-08-24","PPO.Godbout.2021","MiFishU"
"126",126,"ADE_21_00429","Godbout","6M3-a",49.3021279759705,-67.6982999872416,"7.67",1.9,5.77,"10.85","27.84","2021-08-24","PPO.Godbout.2021","MiFishU"
"130",130,"ADE_21_00430","Godbout","6M4-a",49.3020269740373,-67.698108041659,"8.16",1.9,6.26,"10.44","27.97","2021-08-24","PPO.Godbout.2021","MiFishU"
"134",134,"ADE_21_00431","Godbout","6M4-c",49.3020269740373,-67.698108041659,"8.16",1.9,6.26,"10.44","27.97","2021-08-24","PPO.Godbout.2021","MiFishU"
"138",138,"ADE_21_00432","Godbout","2M4-a",49.3024429678917,-67.6983200199902,"6.26",2.9,3.36,"9.61","28.3","2021-08-24","PPO.Godbout.2021","MiFishU"
