"","sample_id","project","locus","seqdepth_ok","artefact_type","nb_reads_postmetabaR","nb_motus_postmetabaR"
"846","ADE_21_00469","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",27886,219
"848","ADE_21_00471","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",17832,102
"849","ADE_21_00472","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",29522,134
"850","ADE_21_00473","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",58042,165
"851","ADE_21_00474","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",40480,86
"852","ADE_21_00475","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",39162,79
"853","ADE_21_00476","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",22321,124
"854","ADE_21_00477","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",56189,141
"856","ADE_21_00479","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",22229,100
"857","ADE_21_00480","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",24751,116
"858","ADE_21_00481","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",22874,53
"860","ADE_21_00483","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",34878,119
"861","ADE_21_00484","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",22333,177
"862","ADE_21_00485","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",44823,141
"863","ADE_21_00486","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",26144,112
"864","ADE_21_00487","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",37758,159
"865","ADE_21_00488","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",44112,125
"866","ADE_21_00489","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",22900,225
"867","ADE_21_00490","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",38167,126
"868","ADE_21_00491","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",35864,80
"869","ADE_21_00492","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",38848,73
"870","ADE_21_00493","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",52095,194
"871","ADE_21_00494","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",36001,139
"872","ADE_21_00496","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",22690,170
"874","ADE_21_00498","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",31358,160
"875","ADE_21_00499","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",23081,168
"876","ADE_21_00500","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",20894,112
"878","ADE_21_00502","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",47295,87
"879","ADE_21_00503","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",29270,142
"881","ADE_21_00506","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",22416,97
"883","ADE_21_00508","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",30581,199
"884","ADE_21_00509","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",29362,114
"885","ADE_21_00510","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",25270,95
"886","ADE_21_00511","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",30600,85
"887","ADE_21_00512","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",21370,125
"888","ADE_21_00513","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",19271,132
"889","ADE_21_00514","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",26251,215
"890","ADE_21_00515","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",27387,135
"891","ADE_21_00516","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",12112,261
"892","ADE_21_00517","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",41641,191
"893","ADE_21_00518","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",26087,427
"894","ADE_21_00519","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",34898,116
"895","ADE_21_00520","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",39258,151
"896","ADE_21_00521","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",24627,210
"897","ADE_21_00522","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",33707,86
"898","ADE_21_00523","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",29595,91
"899","ADE_21_00524","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",29895,127
"901","ADE_21_00526","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",42464,138
"902","ADE_21_00527","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",33135,144
"903","ADE_21_00528","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",22655,134
"904","ADE_21_00529","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",12215,111
"905","ADE_21_00530","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",32449,331
"906","ADE_21_00531","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",19083,157
"907","ADE_21_00532","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",24885,169
"908","ADE_21_00533","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",24456,129
"909","ADE_21_00534","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",45620,238
"910","ADE_21_00535","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",33089,125
"912","ADE_21_00537","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",42658,187
"913","ADE_21_00538","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",31634,247
"914","ADE_21_00539","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",17382,203
"915","ADE_21_00541","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",6173,140
"916","ADE_21_00542","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",18613,169
"918","ADE_21_00544","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",18274,115
"919","ADE_21_00545","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",7361,184
"920","ADE_21_00546","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",31675,169
"922","ADE_21_00548","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",25707,114
"923","ADE_21_00549","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",24463,166
"924","ADE_21_00550","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",43172,310
"925","ADE_21_00551","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",15752,222
"926","ADE_21_00552","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",16527,118
"927","ADE_21_00553","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",30912,327
"928","ADE_21_00554","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",23867,108
"929","ADE_21_00555","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",34835,222
"930","ADE_21_00556","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",19840,232
"931","ADE_21_00557","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",12783,102
"932","ADE_21_00558","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",52601,156
"933","ADE_21_00559","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",18386,236
