"","X","ID_ADNe","Site","ID_reception","Latitude","Longitude","Depth_CTD","Tide","Depth_m","Temperature","Salinity","Date","Project","Locus"
"59",104,"ADE_21_00423","Godbout","11M2-b",49.3003419600427,-67.6990110240877,12.3,2.1,10.2,11.75,27.43,"2021-08-24","PPO.Godbout.2021","COI"
"60",108,"ADE_21_00424","Godbout","2M4-c",49.3024429678917,-67.6983200199902,6.26,2.9,3.36,9.61,28.3,"2021-08-24","PPO.Godbout.2021","COI"
"61",112,"ADE_21_00425","Godbout","11M1-b",49.3004759866744,-67.6991869602352,11.5,2.1,9.4,12.1,26.98,"2021-08-24","PPO.Godbout.2021","COI"
"62",120,"ADE_21_00427","Godbout","2M2-b",49.3027069978416,-67.6988060027361,3.92,2.9,1.02,13.15,27.06,"2021-08-24","PPO.Godbout.2021","COI"
"63",124,"ADE_21_00428","Godbout","2M4-b",49.3024429678917,-67.6983200199902,6.26,2.9,3.36,9.61,28.3,"2021-08-24","PPO.Godbout.2021","COI"
"64",128,"ADE_21_00429","Godbout","6M3-a",49.3021279759705,-67.6982999872416,7.67,1.9,5.77,10.85,27.84,"2021-08-24","PPO.Godbout.2021","COI"
"65",132,"ADE_21_00430","Godbout","6M4-a",49.3020269740373,-67.698108041659,8.16,1.9,6.26,10.44,27.97,"2021-08-24","PPO.Godbout.2021","COI"
"66",136,"ADE_21_00431","Godbout","6M4-c",49.3020269740373,-67.698108041659,8.16,1.9,6.26,10.44,27.97,"2021-08-24","PPO.Godbout.2021","COI"
"67",140,"ADE_21_00432","Godbout","2M4-a",49.3024429678917,-67.6983200199902,6.26,2.9,3.36,9.61,28.3,"2021-08-24","PPO.Godbout.2021","COI"
"68",144,"ADE_21_00433","Godbout","11M2-a",49.3003419600427,-67.6990110240877,12.3,2.1,10.2,11.75,27.43,"2021-08-24","PPO.Godbout.2021","COI"
"69",148,"ADE_21_00434","Godbout","6M4-b",49.3020240403712,-67.6985119655728,5.99,1.6,4.39,4.34,28.25,"2021-05-31","PPO.Godbout.2021","COI"
"70",152,"ADE_21_00435","Godbout","6M1-c",49.3024350050837,-67.6994880381972,4.94,1.1,3.84,6.45,26.8,"2021-05-31","PPO.Godbout.2021","COI"
"71",156,"ADE_21_00436","Godbout","6M3-b",49.3022029940039,-67.698974981904,5.68,1.6,4.08,5.13,27.7,"2021-05-31","PPO.Godbout.2021","COI"
"72",160,"ADE_21_00437","Godbout","10M1-b",49.3010130152106,-67.6995059754699,10.68,2,8.68,3.57,28.7,"2021-05-31","PPO.Godbout.2021","COI"
"73",164,"ADE_21_00438","Godbout","6M2-c",49.3022920098156,-67.6992660015821,5.7,1.1,4.6,6.04,27.2,"2021-05-31","PPO.Godbout.2021","COI"
"74",168,"ADE_21_00439","Godbout","6M4-a",49.3020240403712,-67.6985119655728,5.99,1.6,4.39,4.34,28.25,"2021-05-31","PPO.Godbout.2021","COI"
"75",172,"ADE_21_00440","Godbout","10M4-b",49.3007990252227,-67.6981600094587,11.56,2.4,9.16,3.18,29.06,"2021-05-31","PPO.Godbout.2021","COI"
