"","X","Df","Variance","F","Pr..F.","R2","adj.R2","model","transfo","locus","project"
"39","Longitude",1,0.954043085720516,3.03076024008979,0.022,0.00902812157253457,0.00391563087603541,"pRDA","Hellinger-Mahalanobis","COI","Godbout_Fall"
"40","Latitude",1,0.367072037712656,1.1660975838508,0.277,0.0010396300662839,-0.00426770188646508,"pRDA","Hellinger-Mahalanobis","COI","Godbout_Fall"
"41","Depth_m",1,0.278726492124777,0.885445513766809,0.457,0.00181327753976709,-0.00347518496240939,"pRDA","Hellinger-Mahalanobis","COI","Godbout_Fall"
"42","Temperature",1,0.909424791279406,2.88901889234907,0.024,0.0643865213222167,0.0606242354976608,"pRDA","Hellinger-Mahalanobis","COI","Godbout_Fall"
"43","Salinity",1,0.529749500280449,1.68288387252959,0.121,0.0786394597311549,0.0752248065507195,"pRDA","Hellinger-Mahalanobis","COI","Godbout_Fall"
"44","Residual1",29,9.12881498177346,NA,NA,NA,NA,"pRDA","Hellinger-Mahalanobis","COI","Godbout_Fall"
"45","Complete_model",5,0.211267851384149,6.06395702186806,0.001,0.335693725052993,0.280334868807409,"Complete","Hellinger","COI","Godbout_Spring"
"46","Residual",60,0.418079186159664,NA,NA,NA,NA,"Complete","Hellinger","COI","Godbout_Spring"
"47","Longitude",1,0.00543555504499577,0.780075434262818,0.599,0.00449599482198521,0.000159320110635131,"pRDA","Hellinger","COI","Godbout_Spring"
"48","Latitude",1,0.0334244374886772,4.79685742727872,0.002,0.00642931569102691,0.0021397951472143,"pRDA","Hellinger","COI","Godbout_Spring"
"49","Depth_m",1,0.0338407609252134,4.85660545353572,0.002,0.00917494965208398,0.00495239579024853,"pRDA","Hellinger","COI","Godbout_Spring"
"50","Temperature",1,0.0214137814803809,3.0731663554573,0.008,0.168874223006204,0.168546773372518,"pRDA","Hellinger","COI","Godbout_Spring"
"51","Salinity",1,0.0282833142228172,4.05903692302191,0.001,0.0801826926396714,0.0776920349482648,"pRDA","Hellinger","COI","Godbout_Spring"
"52","Residual1",60,0.418079186159664,NA,NA,NA,NA,"pRDA","Hellinger","COI","Godbout_Spring"
"53","Complete_model",5,42.3804511682289,3.49553762549047,0.001,0.225583500874486,0.161048792614027,"Complete","Hellinger-Mahalanobis","COI","Godbout_Spring"
"54","Residual",60,145.489898409372,NA,NA,NA,NA,"Complete","Hellinger-Mahalanobis","COI","Godbout_Spring"
"55","Longitude",1,1.69748764190157,0.700043505615187,0.531,0.00902812157253457,0.00391563087603541,"pRDA","Hellinger-Mahalanobis","COI","Godbout_Spring"
"56","Latitude",1,6.880757343623,2.83762271560418,0.053,0.0010396300662839,-0.00426770188646508,"pRDA","Hellinger-Mahalanobis","COI","Godbout_Spring"
"57","Depth_m",1,7.23968160737388,2.98564299784026,0.04,0.00181327753976709,-0.00347518496240939,"pRDA","Hellinger-Mahalanobis","COI","Godbout_Spring"
"58","Temperature",1,5.46039814084136,2.25186691332088,0.078,0.0643865213222167,0.0606242354976608,"pRDA","Hellinger-Mahalanobis","COI","Godbout_Spring"
"59","Salinity",1,6.93971669347579,2.86193753766292,0.041,0.0786394597311549,0.0752248065507195,"pRDA","Hellinger-Mahalanobis","COI","Godbout_Spring"
"60","Residual1",60,145.489898409372,NA,NA,NA,NA,"pRDA","Hellinger-Mahalanobis","COI","Godbout_Spring"
"61","Complete_model",5,0.169207926301728,6.78959482229293,0.001,0.353816476333587,0.30170490184436,"Complete","Hellinger","COI","Godbout_Summer"
"62","Residual",62,0.309028497437325,NA,NA,NA,NA,"Complete","Hellinger","COI","Godbout_Summer"
"63","Longitude",1,0.00498579759826795,1.0002943212553,0.389,0.00449599482198521,0.000159320110635131,"pRDA","Hellinger","COI","Godbout_Summer"
"64","Latitude",1,0.00674868644896182,1.35398050116881,0.201,0.00642931569102691,0.0021397951472143,"pRDA","Hellinger","COI","Godbout_Summer"
"65","Depth_m",1,0.0100682055105834,2.0199714486939,0.055,0.00917494965208398,0.00495239579024853,"pRDA","Hellinger","COI","Godbout_Summer"
"66","Temperature",1,0.00692288532940016,1.38892980415135,0.17,0.168874223006204,0.168546773372518,"pRDA","Hellinger","COI","Godbout_Summer"
"67","Salinity",1,0.00743745477831237,1.4921672275512,0.135,0.0801826926396714,0.0776920349482648,"pRDA","Hellinger","COI","Godbout_Summer"
"68","Residual1",62,0.309028497437325,NA,NA,NA,NA,"pRDA","Hellinger","COI","Godbout_Summer"
"69","Complete_model",5,48.9933697789667,6.23132839668475,0.001,0.334454325295796,0.280781287013199,"Complete","Hellinger-Mahalanobis","COI","Godbout_Summer"
"70","Residual",62,97.4941050422579,NA,NA,NA,NA,"Complete","Hellinger-Mahalanobis","COI","Godbout_Summer"
"71","Longitude",1,3.03817963150325,1.93208745361123,0.131,0.00902812157253457,0.00391563087603541,"pRDA","Hellinger-Mahalanobis","COI","Godbout_Summer"
"72","Latitude",1,2.87844080340078,1.83050380054769,0.142,0.0010396300662839,-0.00426770188646508,"pRDA","Hellinger-Mahalanobis","COI","Godbout_Summer"
"73","Depth_m",1,4.56277597564173,2.90163297942137,0.05,0.00181327753976709,-0.00347518496240939,"pRDA","Hellinger-Mahalanobis","COI","Godbout_Summer"
"74","Temperature",1,1.79595123156633,1.14210983637267,0.291,0.0643865213222167,0.0606242354976608,"pRDA","Hellinger-Mahalanobis","COI","Godbout_Summer"
"75","Salinity",1,0.51631544043525,0.328343516698885,0.825,0.0786394597311549,0.0752248065507195,"pRDA","Hellinger-Mahalanobis","COI","Godbout_Summer"
"76","Residual1",62,97.4941050422579,NA,NA,NA,NA,"pRDA","Hellinger-Mahalanobis","COI","Godbout_Summer"
"77","Complete_model",3,0.0971053807839111,3.55544925272304,0.001,0.157631497953595,0.113296313635364,"Complete","Hellinger","MiFishU","BDA"
"78","Residual",57,0.518922393135344,NA,NA,NA,NA,"Complete","Hellinger","MiFishU","BDA"
"79","Longitude",1,0.0361706253486355,3.97309052788263,0.004,0.0587159002888992,0.0454525919132641,"pRDA","Hellinger","MiFishU","BDA"
"80","Latitude",1,0.0113606789564702,1.24789122436253,0.251,0.0184418291470721,0.00378975969758089,"pRDA","Hellinger","MiFishU","BDA"
"81","Depth_m",1,0.0164479752405475,1.80669518431571,0.091,0.0267000546678323,0.0123327516156088,"pRDA","Hellinger","MiFishU","BDA"
"82","Residual1",57,0.518922393135344,NA,NA,NA,NA,"pRDA","Hellinger","MiFishU","BDA"
"83","Complete_model",3,3606.40630407478,5.70265239519644,0.002,0.23085181904404,0.190370335835832,"Complete","Hellinger-Mahalanobis","MiFishU","BDA"
