",""ID_ADNe"",""Site"",""ID_reception"",""Latitude"",""Longitude"",""Depth_CTD"",""Tide"",""Depth_m"",""Temperature"",""Salinity"",""Date"",""Project"",""Locus"""
"30,""ADE_21_00404"",""Godbout"",""11M1-c"",""49.300475986674428"",""-67.699186960235238"",""11.5"",""2.1"",9.4,""12.1"",""26.98"",2021-08-24,""PPO.Godbout.2021"",""MiFishU"""
"31,""ADE_21_00404"",""Godbout"",""11M1-c"",""49.300475986674428"",""-67.699186960235238"",""11.5"",""2.1"",9.4,""12.1"",""26.98"",2021-08-24,""PPO.Godbout.2021"",""16Schord"""
"32,""ADE_21_00404"",""Godbout"",""11M1-c"",""49.300475986674428"",""-67.699186960235238"",""11.5"",""2.1"",9.4,""12.1"",""26.98"",2021-08-24,""PPO.Godbout.2021"",""COI"""
"33,""ADE_21_00405"",""Godbout"",""11M2-c"",""49.300341960042715"",""-67.699011024087667"",""12.3"",""2.1"",10.2,""11.75"",""27.43"",2021-08-24,""PPO.Godbout.2021"",""12S248"""
"34,""ADE_21_00405"",""Godbout"",""11M2-c"",""49.300341960042715"",""-67.699011024087667"",""12.3"",""2.1"",10.2,""11.75"",""27.43"",2021-08-24,""PPO.Godbout.2021"",""MiFishU"""
"35,""ADE_21_00405"",""Godbout"",""11M2-c"",""49.300341960042715"",""-67.699011024087667"",""12.3"",""2.1"",10.2,""11.75"",""27.43"",2021-08-24,""PPO.Godbout.2021"",""16Schord"""
"36,""ADE_21_00405"",""Godbout"",""11M2-c"",""49.300341960042715"",""-67.699011024087667"",""12.3"",""2.1"",10.2,""11.75"",""27.43"",2021-08-24,""PPO.Godbout.2021"",""COI"""
"37,""ADE_21_00407"",""Godbout"",""6M1-a"",""49.302311958745122"",""-67.698942041024566"",""7.42"",""2.5"",4.92,""8.64"",""28.5"",2021-08-24,""PPO.Godbout.2021"",""12S248"""
"38,""ADE_21_00407"",""Godbout"",""6M1-a"",""49.302311958745122"",""-67.698942041024566"",""7.42"",""2.5"",4.92,""8.64"",""28.5"",2021-08-24,""PPO.Godbout.2021"",""MiFishU"""
"39,""ADE_21_00407"",""Godbout"",""6M1-a"",""49.302311958745122"",""-67.698942041024566"",""7.42"",""2.5"",4.92,""8.64"",""28.5"",2021-08-24,""PPO.Godbout.2021"",""16Schord"""
