"","Df","Variance","F","Pr..F.","R2","adj.R2","Transfo","Project_Locus"
"Longitude",1,156230.013837277,2.03306436787042,0.105,"0.102","pRDA","hell","PPO.Leim.VRoy.2019_MiFishU"
"Latitude",1,165434.226572858,2.15284133317555,0.088,"0.108","pRDA","hell","PPO.Leim.VRoy.2019_MiFishU"
"Depth_m",1,38683.8759822114,0.503403974299506,0.771,"0.025","pRDA","hell","PPO.Leim.VRoy.2019_MiFishU"
"Temperature",1,6771.46889884816,0.088118997100838,0.999,"0.004","pRDA","hell","PPO.Leim.VRoy.2019_MiFishU"
"Salinity",1,11404.3711787174,0.148408235472398,0.99,"0.007","pRDA","hell","PPO.Leim.VRoy.2019_MiFishU"
"Residual",15,1152668.96837795,NA,NA,"0.753","pRDA","hell","PPO.Leim.VRoy.2019_MiFishU"
"Model",5,335797.880783576,0.87396613423917,0.631,"0.226","-0.033","hell - all model","PPO.Leim.VRoy.2019_MiFishU"
"Residual1",15,1152668.96837795,NA,NA,"NA","NA","hell - all model","PPO.Leim.VRoy.2019_MiFishU"
