"","Df","Variance","F","Pr..F.","R2","adj.R2","Transfo","Project_Locus"
"Longitude",1,1667.15371382578,0.4918081087676,0.545,"0.021","pRDA","hell","PPO.Leim.VRoy.2019_COI"
"Latitude",1,3113.98251609477,0.918620664234671,0.371,"0.039","pRDA","hell","PPO.Leim.VRoy.2019_COI"
"Depth_m",1,3833.43414206771,1.13085792861238,0.294,"0.048","pRDA","hell","PPO.Leim.VRoy.2019_COI"
"Temperature",1,495.678050409872,0.146224359822387,0.834,"0.006","pRDA","hell","PPO.Leim.VRoy.2019_COI"
"Salinity",1,285.37131952474,0.084184156378662,0.933,"0.004","pRDA","hell","PPO.Leim.VRoy.2019_COI"
"Residual",21,71186.7644437015,NA,NA,"0.883","pRDA","hell","PPO.Leim.VRoy.2019_COI"
"Model",5,18398.8996107873,1.08553013989589,0.389,"0.205","0.016","hell - all model","PPO.Leim.VRoy.2019_COI"
"Residual1",21,71186.7644437015,NA,NA,"NA","NA","hell - all model","PPO.Leim.VRoy.2019_COI"
