"","Df","Variance","F","Pr..F.","R2","adj.R2","Transfo","Project_Locus"
"Longitude",1,291.688252278007,0.460839031402651,0.779,"0.003","pRDA","hell","PPO.Godbout.2021_COI"
"Latitude",1,808.010703912601,1.27657822091224,0.25,"0.009","pRDA","hell","PPO.Godbout.2021_COI"
"Depth_m",1,1277.08999389427,2.01767781596952,0.089,"0.014","pRDA","hell","PPO.Godbout.2021_COI"
"Season",1,1010.72746872755,1.59685096695811,0.16,"0.011","pRDA","hell","PPO.Godbout.2021_COI"
"Temperature",1,3198.4560998035,5.05324914358398,0.003,"0.035","pRDA","hell","PPO.Godbout.2021_COI"
"Salinity",1,3935.55799871913,6.21779835833117,0.001,"0.043","pRDA","hell","PPO.Godbout.2021_COI"
"Residual",127,80384.7016311861,NA,NA,"0.884","pRDA","hell","PPO.Godbout.2021_COI"
"Model",6,15918.7380866542,4.19167597810003,0.001,"0.165","0.126","hell - all model","PPO.Godbout.2021_COI"
"Residual1",127,80384.7016311861,NA,NA,"NA","NA","hell - all model","PPO.Godbout.2021_COI"
