"","Df","Variance","F","Pr..F.","R2","adj.R2","Transfo","Project_Locus"
"Longitude",1,4888648.60139227,0.650962536941485,0.502,"0.004","pRDA","Log1p","PPO.Godbout.2021_MiFishU"
"Latitude",1,7581352.00361609,1.00951746302952,0.335,"0.007","pRDA","Log1p","PPO.Godbout.2021_MiFishU"
"Depth_m",1,7445518.12824059,0.991430099562274,0.349,"0.006","pRDA","Log1p","PPO.Godbout.2021_MiFishU"
"Season",1,1656450.18042564,0.220569547882817,0.894,"0.001","pRDA","Log1p","PPO.Godbout.2021_MiFishU"
"Temperature",1,12567752.0762057,1.67349638770284,0.173,"0.011","pRDA","Log1p","PPO.Godbout.2021_MiFishU"
"Salinity",1,31594211.7379136,4.20702118367055,0.018,"0.028","pRDA","Log1p","PPO.Godbout.2021_MiFishU"
"Residual",144,1081422291.83884,NA,NA,"0.943","pRDA","Log1p","PPO.Godbout.2021_MiFishU"
"Model",6,106028795.221613,2.35309656969595,0.014,"0.089","0.051","Log1p - all model","PPO.Godbout.2021_MiFishU"
"Residual1",144,1081422291.83884,NA,NA,"NA","NA","Log1p - all model","PPO.Godbout.2021_MiFishU"
