"","Df","Variance","F","Pr..F.","R2","adj.R2","Transfo","Project_Locus"
"Longitude",1,380318.034806171,1.6227283549173,0.202,"0.067","pRDA","Log1p","PPO.KMcGregor.2020_MiFishU"
"Latitude",1,154968.801415324,0.661215733070239,0.464,"0.027","pRDA","Log1p","PPO.KMcGregor.2020_MiFishU"
"Depth_m",1,236216.54005721,1.00788088486693,0.335,"0.042","pRDA","Log1p","PPO.KMcGregor.2020_MiFishU"
"Temperature",1,316814.950267,1.35177550368336,0.291,"0.056","pRDA","Log1p","PPO.KMcGregor.2020_MiFishU"
"Salinity",1,135893.255631621,0.579824828101679,0.467,"0.024","pRDA","Log1p","PPO.KMcGregor.2020_MiFishU"
"Residual",19,4453020.51906618,NA,NA,"0.784","pRDA","Log1p","PPO.KMcGregor.2020_MiFishU"
"Model",5,1079365.50976899,0.921080179074111,0.439,"0.195","-0.017","Log1p - all model","PPO.KMcGregor.2020_MiFishU"
"Residual1",19,4453020.51906618,NA,NA,"NA","NA","Log1p - all model","PPO.KMcGregor.2020_MiFishU"
