"","Df","Variance","F","Pr..F.","R2","adj.R2","Transfo","Project_Locus"
"Longitude",1,1201396.81405515,1.33565591076668,0.256,"0.039","pRDA","Log1p","PPO.KMcGregor.2020_COI"
"Latitude",1,221896.149665933,0.246693598992736,0.759,"0.007","pRDA","Log1p","PPO.KMcGregor.2020_COI"
"Depth_m",1,315711.351581816,0.350992884202066,0.668,"0.01","pRDA","Log1p","PPO.KMcGregor.2020_COI"
"Temperature",1,2024395.34014795,2.25062657913209,0.115,"0.066","pRDA","Log1p","PPO.KMcGregor.2020_COI"
"Salinity",1,992479.003014695,1.10339101217855,0.291,"0.032","pRDA","Log1p","PPO.KMcGregor.2020_COI"
"Residual",29,26084942.481631,NA,NA,"0.846","pRDA","Log1p","PPO.KMcGregor.2020_COI"
"Model",5,2913969.12098691,0.647922490671612,0.72,"0.1","-0.055","Log1p - all model","PPO.KMcGregor.2020_COI"
"Residual1",29,26084942.481631,NA,NA,"NA","NA","Log1p - all model","PPO.KMcGregor.2020_COI"
