"","Df","Variance","F","Pr..F.","R2","adj.R2","Transfo","Project_Locus"
"Longitude",1,517075.561001508,0.778006770438419,0.422,"0.031","pRDA","Log1p","PPO.Leim.VRoy.2019_COI"
"Latitude",1,952719.883891538,1.43348975643573,0.244,"0.057","pRDA","Log1p","PPO.Leim.VRoy.2019_COI"
"Depth_m",1,442455.015121985,0.665730549540193,0.476,"0.026","pRDA","Log1p","PPO.Leim.VRoy.2019_COI"
"Temperature",1,586089.421089701,0.881847010535451,0.346,"0.035","pRDA","Log1p","PPO.Leim.VRoy.2019_COI"
"Salinity",1,349061.634793127,0.525208181650193,0.513,"0.021","pRDA","Log1p","PPO.Leim.VRoy.2019_COI"
"Residual",21,13956930.9594988,NA,NA,"0.831","pRDA","Log1p","PPO.Leim.VRoy.2019_COI"
"Model",5,4446031.98914452,1.33792553739748,0.271,"0.242","0.061","Log1p - all model","PPO.Leim.VRoy.2019_COI"
"Residual1",21,13956930.9594988,NA,NA,"NA","NA","Log1p - all model","PPO.Leim.VRoy.2019_COI"
